e,t1,t2,t3,t4
0.8700000000000006,3,3,3,3
0.8800000000000006,4,3,3,3
0.8900000000000006,3,4,3,3
0.9000000000000006,3,4,3,3
0.9100000000000006,3,3,4,3
0.9200000000000006,3,4,3,3
0.9300000000000006,4,3,4,3
0.9400000000000006,4,3,3,4
0.9500000000000006,3,3,4,3
0.9600000000000006,4,3,4,3
0.9700000000000006,3,4,3,5
0.9800000000000006,3,4,3,4
0.9900000000000007,3,4,3,3
1.0000000000000007,4,4,4,3
1.0100000000000007,5,4,5,5
1.0200000000000007,4,5,5,4
1.0300000000000007,5,5,5,4
1.0400000000000007,5,5,4,5
1.0500000000000007,5,4,5,5
1.0600000000000007,4,5,5,5
1.0700000000000007,5,4,5,5
1.0800000000000007,4,5,5,4
1.0900000000000007,5,5,4,5
1.1000000000000008,5,5,5,5
1.1100000000000008,5,5,5,5
1.1200000000000008,5,5,6,5
1.1300000000000008,5,5,5,5
1.1400000000000008,6,5,6,5
1.1500000000000008,7,6,6,6
1.1600000000000008,6,6,6,7
1.1700000000000008,6,6,6,7
1.1800000000000008,6,6,6,6
1.1900000000000008,6,6,7,6
1.2000000000000008,5,6,5,5
1.2100000000000009,5,7,6,5
1.2200000000000009,5,6,5,5
1.2300000000000009,6,5,5,6
1.2400000000000009,5,5,6,5
1.2500000000000009,4,3,4,4
1.260000000000001,3,4,3,4
1.270000000000001,4,4,4,3
1.280000000000001,4,7,8,5
1.290000000000001,4,3,3,4
1.300000000000001,4,3,4,4
1.310000000000001,4,4,4,3
1.320000000000001,4,4,5,3
1.330000000000001,4,3,4,4
1.340000000000001,2,2,2,3
1.350000000000001,2,3,3,6
1.360000000000001,3,3,3,2
1.370000000000001,3,2,2,2
1.380000000000001,2,2,3,2
1.390000000000001,2,2,2,3
1.400000000000001,2,2,3,2
1.410000000000001,2,2,2,2
1.420000000000001,3,2,2,2
1.430000000000001,2,2,3,2
1.440000000000001,2,2,2,2
1.450000000000001,2,3,2,2
1.460000000000001,3,2,2,2
1.470000000000001,2,2,3,2
1.480000000000001,2,2,2,2
1.490000000000001,2,2,3,2
1.500000000000001,2,3,2,2
1.5100000000000011,3,3,2,3
1.5200000000000011,2,3,2,3
1.5300000000000011,2,3,2,3
1.5400000000000011,2,3,3,2
1.5500000000000012,3,2,3,2
1.5600000000000012,3,3,2,3
1.5700000000000012,2,3,3,2
1.5800000000000012,3,3,2,3
1.5900000000000012,2,3,3,2
1.6000000000000012,3,3,3,3
1.6100000000000012,3,2,3,3
1.6200000000000012,2,3,3,2
1.6300000000000012,3,3,2,3
1.6400000000000012,3,2,3,2
1.6500000000000012,3,2,3,3
1.6600000000000013,2,3,3,2
1.6700000000000013,3,3,3,3
1.6800000000000013,3,4,3,3
1.6900000000000013,3,3,3,3
1.7000000000000013,3,3,3,3
1.7100000000000013,3,3,3,3
1.7200000000000013,3,3,4,3
1.7300000000000013,3,3,3,4
1.7400000000000013,3,3,4,3
1.7500000000000013,3,4,3,4
1.7600000000000013,3,3,4,3
1.7700000000000014,3,4,3,3
1.7800000000000014,4,3,3,3
1.7900000000000014,3,4,3,3
1.8000000000000014,4,3,3,4
1.8100000000000014,3,4,3,4
1.8200000000000014,3,3,4,3
1.8300000000000014,4,3,3,4
1.8400000000000014,3,3,4,3
1.8500000000000014,4,3,4,3
1.8600000000000014,4,3,3,4
1.8700000000000014,3,4,3,4
1.8800000000000014,3,3,4,3
1.8900000000000015,4,3,4,3
1.9000000000000015,4,4,3,3
1.9100000000000015,4,4,3,4
1.9200000000000015,3,4,3,4
1.9300000000000015,4,4,3,3
1.9400000000000015,4,3,4,4
1.9500000000000015,3,3,4,3
1.9600000000000015,4,3,3,4
1.9700000000000015,4,3,3,4
1.9800000000000015,3,4,3,4
1.9900000000000015,3,4,3,4
2.0000000000000013,4,5,5,5
2.010000000000001,4,3,4,4
2.020000000000001,4,4,4,3
2.0300000000000007,4,3,4,4
2.0400000000000005,4,4,4,4
2.0500000000000003,3,4,4,4
2.06,4,4,4,3
2.07,4,4,4,4
2.0799999999999996,3,4,4,3
2.0899999999999994,4,4,4,4
2.099999999999999,4,3,4,4
2.109999999999999,4,3,4,3
2.1199999999999988,4,4,4,4
2.1299999999999986,4,4,4,3
2.1399999999999983,4,4,4,4
2.149999999999998,3,4,4,4
2.159999999999998,4,4,4,4
2.1699999999999977,4,3,4,4
2.1799999999999975,3,4,4,4
2.1899999999999973,3,4,4,4
2.199999999999997,4,4,4,3
2.209999999999997,4,4,3,4
2.2199999999999966,4,4,3,4
2.2299999999999964,4,4,4,4
2.239999999999996,4,4,4,4
2.249999999999996,3,4,4,4
2.259999999999996,3,4,4,3
2.2699999999999956,4,3,5,3
2.2799999999999954,4,4,3,4
2.289999999999995,4,4,3,4
2.299999999999995,4,4,4,4
2.3099999999999947,4,4,3,4
2.3199999999999945,4,4,4,4
2.3299999999999943,4,4,4,4
2.339999999999994,4,4,4,4
2.349999999999994,4,4,4,4
2.3599999999999937,4,4,4,3
2.3699999999999934,4,5,4,3
2.3799999999999932,4,5,3,4
2.389999999999993,4,4,4,3
2.399999999999993,4,4,4,4
2.4099999999999926,4,4,4,5
2.4199999999999924,4,4,4,4
2.429999999999992,4,4,4,4
2.439999999999992,4,4,4,4
2.4499999999999917,4,4,4,4
2.4599999999999915,5,3,4,5
2.4699999999999913,3,4,4,4
2.479999999999991,4,4,4,5
2.489999999999991,3,4,4,5
2.4999999999999907,4,4,4,4
